nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VA - MON PETIT OURS DE POCHE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;MON OURS EN PELUCHE;Dossier 3400;Organisme;Primaire;Groupe Education - 1er Degré;03_Grande section;Français;;Tuesday, April 1, 2025;13:30;120;15:30;1;G;N3 - Rohan - Expo, N4 - Atelier Tuileries 1;;;0;30;0;0;0;0;0;170.00;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;;
PARCOURS - L'ANIMAL DANS LES ARTS DÉCORATIFS;PARCOURS;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2798;Organisme;Elémentaire;Groupe Education - 1er Degré;04_CP;Français;;Tuesday, April 1, 2025;10:00;90;11:30;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;23;0;0;0;0;0;110.00;15;0;15;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;CS/Handicap;
PARCOURS CONTÉ - SI L'ANIMAL M'ÉTAIT CONTÉ;PARCOURS;EN FAMILLE;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1975;Organisme;Primaire;Groupe Education - 1er Degré;04_CP;Français;;Tuesday, April 1, 2025;14:00;90;15:30;1;G;;;;0;33;0;0;0;0;0;110.00;15;0;15;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;;CS/Handicap;
VA - LUMIÈRE;VISITE-ATELIER;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1989;Organisme;Primaire;Groupe Education - 1er Degré;07_CM1;Français;;Tuesday, April 1, 2025;14:00;120;16:00;1;G;;;;0;29;0;0;0;0;0;410.00;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;;
RESIDENCE ENFANTS CONFERENCIERS;GROUPE EN VISITE LIBRE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2581;Organisme;Elémentaire;Groupe Education - 1er Degré;08_CM2;Français;;Tuesday, April 1, 2025;12:30;90;14:00;1;G;N4 - Atelier Tuileries 1;;;0;28;0;0;0;0;0;0;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;;
VA - BIJOU EN FOLIE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;GALERIE DES BIJOUX;Dossier 2582;Organisme;Elémentaire;Groupe Education - 1er Degré;08_CM2;Français;;Tuesday, April 1, 2025;12:30;120;14:30;1;G;N4 - Atelier Tuileries 2;;;0;28;0;0;0;0;0;0;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Education - 1er Degré;Français;;
PARCOURS - MÉTIERS D'ART ET DU TEXTILE;PARCOURS;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3297;Organisme;Collège;Groupe Education - 2nd Degré;12_Troisième;Français;;Tuesday, April 1, 2025;14:15;90;15:45;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;25;0;0;0;0;0;95.00;15;0;15;GROUPES;JEUNES/FAMILLES;Groupe Education - 2nd Degré;Français;CS/Handicap;
PARCOURS - MÉTIERS D'ART ET DU TEXTILE;PARCOURS;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3297;Organisme;Collège;Groupe Education - 2nd Degré;12_Troisième;Français;;Tuesday, April 1, 2025;14:30;90;16:00;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;25;0;0;0;0;0;95.00;15;0;15;GROUPES;JEUNES/FAMILLES;Groupe Education - 2nd Degré;Français;CS/Handicap;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3517;Organisme;Lycée d'Enseignement Général;Groupe Education - 2nd Degré;13_Seconde;Français;;Tuesday, April 1, 2025;15:45;90;17:15;1;A;;Français;;30;16;14;0;0;0;53;0;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education - 2nd Degré;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3516;Organisme;Lycée d'Enseignement Général;Groupe Education - 2nd Degré;13_Seconde;Français;;Tuesday, April 1, 2025;15:15;90;16:45;1;A;;Français;;30;27;3;0;0;0;90;0;0;0;0;GROUPES;JEUNES/FAMILLES;Groupe Education - 2nd Degré;Français;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3720;Individuel;Individuels;;00_VL;Français;;Tuesday, April 1, 2025;15:45;90;17:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;23;7;0;0;0;76;0;0;0;0;GROUPES;;export tickpro;;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3223;Individuel;Individuels;;00_VL;Français;;Tuesday, April 1, 2025;12:45;90;14:15;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;22;8;0;0;0;73;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3224;Individuel;Individuels;;00_VL;Français;;Tuesday, April 1, 2025;14:45;90;16:15;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;22;8;0;0;0;73;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3686;Individuel;Individuels;;00_VL;Français;;Tuesday, April 1, 2025;13:45;90;15:15;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;27;3;0;0;0;90;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN;Dossier 3510;Individuel;Individuels;;00_VL;Français;;Tuesday, April 1, 2025;15:15;90;16:45;1;A;N2 - Lefuel - Galerie Jardin;;;30;20;10;0;0;0;66;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1449;Individuel;Individuels;;01_Petite section;Français;;Tuesday, April 1, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2097;Individuel;Individuels;;01_Petite section;Français;;Tuesday, April 1, 2025;16:15;90;17:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3518;Individuel;Individuels;;27_Moins de 18 ans;Français;;Tuesday, April 1, 2025;14:45;90;16:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;21;9;0;0;0;70;0;0;0;0;GROUPES;;export tickpro;;;
VG - 2H - A LA DECOUVERTE DES METIERS D'ART;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3456;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, April 2, 2025;14:30;120;16:30;1;G;;;;0;15;0;0;0;0;0;140.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;CS/Handicap;
VG - 2H - A LA DECOUVERTE DES METIERS D'ART;VISITE GUIDÉE;;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3456;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, April 2, 2025;14:45;120;16:45;1;G;;;;0;15;0;0;0;0;0;140.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;CS/Handicap;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3619;Individuel;Individuels;;31_Adultes;Français;;Wednesday, April 2, 2025;19:00;150;21:30;1;G;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;15;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;31_Adultes;;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2280;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, April 2, 2025;10:30;120;12:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;;0;14;0;0;0;0;0;0;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1403;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Wednesday, April 2, 2025;16:15;90;17:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;;CS/Handicap;
VL - ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN (AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;ROCOCO & CO. DE NICOLAS PINEAU À CINDY SHERMAN;Dossier 3699;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Wednesday, April 2, 2025;16:15;90;17:45;1;A;;;;30;15;15;0;0;0;50;260.00;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;Français;;
PRIVATISATIONS - CHRISTOFLE;PRIVATISATION;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3520;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Wednesday, April 2, 2025;08:40;90;10:10;1;G;;;Expo - Audiophone 1;0;80;0;0;0;0;0;0;15;0;15;GROUPES;ADULTES;Groupe Adulte - Interne;Français;;
PRIVATISATIONS - CHRISTOFLE;PRIVATISATION;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3520;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Wednesday, April 2, 2025;08:50;90;10:20;1;G;;;Expo - Audiophone 4;0;80;0;0;0;0;0;0;15;0;15;GROUPES;ADULTES;Groupe Adulte - Interne;Français;;
PRIVATISATIONS - CHRISTOFLE;PRIVATISATION;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3520;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Wednesday, April 2, 2025;09:00;90;10:30;1;G;;;Expo - Audiophone 3;0;80;0;0;0;0;0;0;15;0;15;GROUPES;ADULTES;Groupe Adulte - Interne;Français;;
PRIVATISATIONS - CHRISTOFLE;PRIVATISATION;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3520;Organisme;DG - Privatisation / Mécénat;Groupe Adulte - Interne;31_Adultes;Français;;Wednesday, April 2, 2025;09:10;90;10:40;1;G;;;Expo - Audiophone 2;0;80;0;0;0;0;0;0;15;0;15;GROUPES;ADULTES;Groupe Adulte - Interne;Anglais;;
VA - BIJOU DE MÉTAL;VISITE-ATELIER;11-14 ANS, 7-10 ANS;PARCOURS MODE, BIJOUX, DESIGN;;;;;;;;Wednesday, April 2, 2025;14:30;120;16:30;1;A;N2 - Rohan - Galerie des bijoux, N4 - Atelier Tuileries 3;Français;;13;11;2;2;0;2;84;264.00;15;15;30;INDIVIDUELS;JEUNES/FAMILLES;11-14 ANS, 7-10 ANS;Français;;
VG - 1H30 - FAIRE LE MUR ! UNE HISTOIRE DU DÉCOR;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1564;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;16_CAP;Français;;Wednesday, April 2, 2025;10:15;90;11:45;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 1;0;12;0;0;0;0;0;105.00;15;0;15;GROUPES;JEUNES/FAMILLES;16_CAP;Français;;
VA - UNE FLEUR POUR UN VASE;VISITE-ATELIER;4-6 ANS;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;;;;;;;;Wednesday, April 2, 2025;14:30;120;16:30;1;A;N4 - Atelier Tuileries 2, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle;Français;;13;7;6;2;0;2;53;168.00;15;15;30;INDIVIDUELS;JEUNES/FAMILLES;4-6 ANS;Français;;
VA - UNE TABLE BIEN DRESSÉE;VISITE-ATELIER;11-14 ANS;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2279;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Wednesday, April 2, 2025;14:00;120;16:00;1;G;N4 - Atelier Tuileries 1;;;0;14;0;0;0;0;0;0;15;15;30;GROUPES;JEUNES/FAMILLES;Groupe Adulte - Associations Adultes;Français;;
PARCOURS CONTÉ - HISTOIRES POUR SE METTRE À TABLE;PARCOURS;EN FAMILLE;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2874;Organisme;Centre de loisirs;Groupe Jeune loisir - Centre de loisirs;24_4 - 6 ans;Français;;Wednesday, April 2, 2025;14:30;90;16:00;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;0;18;0;0;0;0;0;110.00;15;0;15;GROUPES;JEUNES/FAMILLES;Groupe Jeune loisir - Centre de loisirs;Français;CS/Handicap;
VL - CHRISTOFLE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3190;Individuel;Individuels;;00_VL;Français;;Wednesday, April 2, 2025;15:15;90;16:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;;30;16;14;0;0;0;53;0;0;0;0;GROUPES;;export tickpro;;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3227;Individuel;Individuels;;00_VL;Français;;Wednesday, April 2, 2025;11:45;90;13:15;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - GALERIE DES BIJOUX;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3225;Individuel;Individuels;;00_VL;Français;;Wednesday, April 2, 2025;15:15;90;16:45;1;A;N2 - Rohan - Galerie des bijoux;Français;;30;30;0;0;0;0;100;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE (SCOLAIRE - CHAMP SOCIAL - HANDICAP);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 3299;Individuel;Individuels;;00_VL;Français;;Wednesday, April 2, 2025;13:45;90;15:15;1;A;N3 - Rohan - Expo;;;30;27;3;0;0;0;90;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1014;Individuel;Individuels;;01_Petite section;Français;;Wednesday, April 2, 2025;12:45;90;14:15;1;A;;;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1020;Individuel;Individuels;;01_Petite section;Français;;Wednesday, April 2, 2025;13:15;90;14:45;1;A;;;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1012;Individuel;Individuels;;01_Petite section;Français;;Wednesday, April 2, 2025;13:45;90;15:15;1;A;;;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - MON OURS EN PELUCHE (ADULTES ET FAMILLES AVEC CONFÉRENCIER EXTÉRIEUR);GROUPE EN VISITE LIBRE;GROUPES;MON OURS EN PELUCHE;Dossier 2092;Individuel;Individuels;;01_Petite section;Français;;Wednesday, April 2, 2025;15:45;90;17:15;1;A;N3 - Rohan - Expo;;;20;1;19;0;0;0;5;35.00;0;0;0;GROUPES;;export tickpro;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1447;Individuel;Individuels;;01_Petite section;Français;;Wednesday, April 2, 2025;12:15;90;13:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2391;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;15:45;90;17:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;12;18;0;0;0;40;0;0;0;0;GROUPES;;export tickpro;;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3217;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;13:45;90;15:15;1;A;;Français;;30;5;25;0;0;0;16;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3263;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;13:15;90;14:45;1;A;;Français;;30;18;12;0;0;0;60;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3264;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;15:15;90;16:45;1;A;;Français;;30;18;12;0;0;0;60;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3265;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;16:15;90;17:45;1;A;;Français;;30;18;12;0;0;0;60;0;0;0;0;GROUPES;;export tickpro;Français;;
VL - COLLECTIONS PERMANENTES : DU MOYEN ÂGE À L'ART NOUVEAU;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 3475;Individuel;Individuels;;27_Moins de 18 ans;Français;;Wednesday, April 2, 2025;12:45;90;14:15;1;A;;Français;;30;19;11;0;0;0;63;0;0;0;0;GROUPES;;export tickpro;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2343;Organisme;Centre d'action sociale;Groupe Adulte - Etablissement Public;31_Adultes;Français;;Thursday, April 3, 2025;14:30;90;16:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;95.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;CS/Handicap;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2351;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;11:00;90;12:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;18;0;0;0;0;0;310.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2644;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;11:30;90;13:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 4;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3473;Organisme;Société;Groupe Adulte - Entreprises;31_Adultes;Français;;Thursday, April 3, 2025;18:00;90;19:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 3;0;20;0;0;0;0;0;330.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1897;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;10:30;120;12:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2153;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;10:45;120;12:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 3161;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;14:15;120;16:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 4;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2389;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;15:00;120;17:00;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2848;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Thursday, April 3, 2025;18:45;120;20:45;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;350.00;15;0;15;GROUPES;ADULTES;31_Adultes;Français;;
