nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1679;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Tuesday, January 7, 2025;16:15;90;17:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;20;5;15;0;0;0;25;110.00;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;;CS/Handicap;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2425;Organisme;Société;Groupe Adulte - Entreprises;24_4 - 6 ans;Français;;Tuesday, January 7, 2025;13:15;90;14:45;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;25;5;0;0;0;83;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Entreprises;Français;;
VL - COLLECTIONS DE DESIGN;GROUPE EN VISITE LIBRE;GROUPES;MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2316;Organisme;Etablissement public - Autre;Groupe Adulte - Etablissement Public;24_4 - 6 ans;Français;;Tuesday, January 7, 2025;14:45;90;16:15;1;A;N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;;30;29;1;0;0;0;96;0;0;0;0;GROUPES;ADULTES;Groupe Adulte - Etablissement Public;Français;;
VG - 1H30 - FAIRE LE MUR ! UNE HISTOIRE DU DÉCOR;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 1510;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;16_CAP;Français;;Tuesday, January 7, 2025;14:15;90;15:45;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 1;0;10;0;0;0;0;0;95.00;0;0;0;GROUPES;JEUNES/FAMILLES;16_CAP;Français;CS/Handicap;
VG - MAD PRO - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;VISITE GUIDÉE;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2136;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;17_Première Pro;Français;;Tuesday, January 7, 2025;10:30;90;12:00;1;G;NEF - EXPO;;Expo - Audiophone 1;0;30;0;0;0;0;0;105.00;0;0;0;GROUPES;JEUNES/FAMILLES;17_Première Pro;Français;;
VG - 2H - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX 11-18 ANS;VISITE GUIDÉE;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2174;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;18_Seconde Pro;Français;;Tuesday, January 7, 2025;11:00;120;13:00;1;G;NEF - EXPO;;Collection - Audiophone 1;0;30;0;0;0;0;0;0;0;0;0;GROUPES;JEUNES/FAMILLES;18_Seconde Pro;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2047;Organisme;Enseignement Supérieur - Autre;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Français;;Tuesday, January 7, 2025;12:15;90;13:45;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 2;0;19;0;0;0;0;0;105.00;0;0;0;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 1H30 - À TABLE !;VISITE GUIDÉE;ADULTES (15 ANS ET +);MUSÉE DES ARTS DÉCORATIFS - COLLECTIONS;Dossier 2047;Organisme;Enseignement Supérieur - Autre;Groupe Education - Enseignement Supérieur;22_Enseignement Supérieur;Français;;Tuesday, January 7, 2025;12:00;90;13:30;1;G;N3 - Lefuel Jardin - XVIIè et XVIIIè Siècle, N3 - Lefuel Rivoli - Moderne et Contemporain, N3 - Rohan - Renaissance, N4 - Lefuel - Galerie Jardin - XVIIIè Siècle, N4 - Lefuel - Galerie Rivoli - XIXè Siècle, N4 - Marsan - Art Déco et Art Nouveau, N4 - Rohan - XVIIIè et XIXè Siècle, N5 - Marsan, N6 - Marsan, N7 - Marsan, N8 - Marsan, N9 - Marsan;;Collection - Audiophone 1;0;20;0;0;0;0;0;105.00;0;0;0;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1354;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;22_Enseignement Supérieur;Français;;Tuesday, January 7, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 1;0;10;0;0;0;0;0;105.00;0;0;0;GROUPES;JEUNES/FAMILLES;22_Enseignement Supérieur;Français;;
VG - 2H - CHRISTOFLE;VISITE GUIDÉE;;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2277;Organisme;Lycée d'Enseignement Professionnel;Groupe Education 2nd degré + enseignement sup;23_BTS;Français;;Tuesday, January 7, 2025;10:15;120;12:15;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;0;20;0;0;0;0;0;140.00;0;0;0;GROUPES;JEUNES/FAMILLES;23_BTS;Français;CS/Handicap;
