musee,idMuseofile,museeLabel,villeLabel,description,labelTourismeHandicap,accessibilitePMRLabel
http://www.wikidata.org/entity/Q3330524,M0972,domaine des Saveurs – Les Planons,Saint-Cyr-sur-Menthon,musée français situé dans l'Ain,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330530,M0086,musée départemental de la Faïence et des Arts de la table,Samadet,musée de la faïencerie de Samadet,,
http://www.wikidata.org/entity/Q3330531,M0355,musée départemental de la montagne,Haut-du-Them-Château-Lambert,musée français,,
http://www.wikidata.org/entity/Q3330528,M0384,musée départemental de la Seine-et-Marne,Saint-Cyr-sur-Morin,musée français,,
http://www.wikidata.org/entity/Q3330539,M0975,musée départemental du Revermont,Treffort-Cuisiat,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330539,M0975,musée départemental du Revermont,Val-Revermont,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330537,M0967,musée départemental du Bugey-Valromey,Lochieu,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330537,M0967,musée départemental du Bugey-Valromey,Arvière-en-Valromey,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330543,M0527,musée départemental du sel,Marsal,musée français,,"accessible, moyennant une aide, aux personnes à mobilité réduite"
http://www.wikidata.org/entity/Q3330540,M0214,musée d'Histoire de la Ville et du Pays Malouin,Saint-Malo,musée français,,
http://www.wikidata.org/entity/Q3330555,M0141,musée et Parc Noisot,Fixin,musée français,,
http://www.wikidata.org/entity/Q3330561,M0176,musée du Hiéron,Paray-le-Monial,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3329216,M0437,musée Jean-Jacques-Rousseau,Montmorency,musée français,,
http://www.wikidata.org/entity/Q3329223,M0548,musée Joseph-Vaylet,Espalion,musée français,,
http://www.wikidata.org/entity/Q3329220,M0789,musée Jeanne-d'Aboville,La Fère,musée français,,
http://www.wikidata.org/entity/Q3329231,M0499,Musée Labenche,Brive-la-Gaillarde,musée français,,
http://www.wikidata.org/entity/Q3329229,M9018,musée Jules-Verne,Nantes,"musée à Nantes, en Loire-Atlantique, en France",,
http://www.wikidata.org/entity/Q3329234,M1162,musée Lalique,Wingen-sur-Moder,"musée à Wingen-sur-Moder, dans le Bas-Rhin, en France",Tourisme et Handicap,
http://www.wikidata.org/entity/Q3329894,M1082,musée de la Dombes de Villars-les-Dombes,Villars-les-Dombes,musée français,,
http://www.wikidata.org/entity/Q3329906,M1004,musée de la Grande Chartreuse,Saint-Pierre-de-Chartreuse,musée à Saint-Pierre-de-Chartreuse (Isère),,
http://www.wikidata.org/entity/Q3329924,M0873,musée du Masque de fer et du Fort Royal,Cannes,musée français,,
http://www.wikidata.org/entity/Q3329932,M1117,musée de la Nacre et de la Tabletterie,Méru,musée français,,
http://www.wikidata.org/entity/Q3329933,M5066,musée de la Monnaie de Paris,6e arrondissement de Paris,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q15818400,M0069,musée Goupil - Conservatoire de l'image industrielle,Bordeaux,musée et cabinet d'arts graphiques à Bordeaux,,
http://www.wikidata.org/entity/Q15950945,M0031,musée historique de Kaysersberg,Kaysersberg Vignoble,musée français,,
